Model Year,Mfr Name,Car Brand,Carline,Engine Displacement,# Cylinders,Transmission,City FE,Highway FE,Combined FE,Air Aspiration Method,Transmission Description,# Gears,Drive Desc,Fuel Usage,Annual Fuel Cost,Carline Class Desc,Release Date,Stop/Start System,Gas Guzzler MPG,FE Rating,City CO2,Highway CO2,Combined CO2
2015,aston martin,Aston Martin Lagonda Ltd,V12 Vantage S,6,12,Auto(AM7),12,18,14,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),4050,Two Seaters,20/01/2014 00:00,N,18.3,2,742,488,628
2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,Auto(AM7),14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),3550,Two Seaters,19/05/2014 00:00,N,20.7,3,655,426,552
2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,Manual(M6),13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),3800,Two Seaters,19/05/2014 00:00,N,19.6,3,681,461,582
2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,Auto(AM7),14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),3550,Two Seaters,19/05/2014 00:00,N,20.7,3,655,426,552
2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,Manual(M6),13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),3800,Two Seaters,19/05/2014 00:00,N,19.6,3,681,461,582
2015,aston martin,Aston Martin Lagonda Ltd,Vantage GT,4.7,8,Auto(AM7),14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),3550,Two Seaters,19/05/2014 00:00,N,20.7,3,655,426,552
2015,aston martin,Aston Martin Lagonda Ltd,Vantage GT,4.7,8,Manual(M6),13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),3800,Two Seaters,19/05/2014 00:00,N,19.6,3,681,461,582
2015,aston martin,Aston Martin Lagonda Ltd,DB9,5.9,12,Auto(S6),13,19,15,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),3800,Minicompact Cars,03/06/2014 00:00,N,19.5,3,679,475,587
2015,aston martin,Aston Martin Lagonda Ltd,Vanquish,6,12,Auto(S8),13,21,16,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),3550,Minicompact Cars,18/08/2014 00:00,N,20.6,3,662,428,557
2015,aston martin,Aston Martin Lagonda Ltd,Rapide S,6,12,Auto(S8),14,22,17,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),3350,Subcompact Cars,18/08/2014 00:00,N,21.5,4,634,412,534
2016,aston martin,Aston Martin Lagonda Ltd,V12 Vantage S,6,12,Auto(AM7),12,18,14,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),3550,Two Seaters,15/06/2015 00:00,N,18.3,2,742,488,628
2016,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,Auto(AM7),14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),3100,Two Seaters,29/06/2015 00:00,N,20.7,3,655,426,552
2016,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,Manual(M6),13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),3300,Two Seaters,29/06/2015 00:00,N,19.6,2,681,461,582
2016,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,Auto(AM7),14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),3100,Two Seaters,29/06/2015 00:00,N,20.7,3,655,426,552
